existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
no checking account	24	existing credits paid	forniture	3972	x < 100 DM	4 <= x < 7 years	2	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	24	critical accnt. / other credits	business	1935	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	yes	yes	0	M
x < 0 DM	15	no credits	new car	950	x < 100 DM	x >= 7 years	4	none	3	car or other	none	rent	2	skilled employee / official	2	none	yes	0	M
no checking account	12	existing credits paid	forniture	763	x < 100 DM	1 <= x < 4 years	4	none	1	real estate	none	own	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	24	delay	forniture	2064	x < 100 DM	unemployed	3	none	2	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
0 <= x < 200 DM	8	existing credits paid	radio/tv	1414	x < 100 DM	1 <= x < 4 years	4	guarantor	2	real estate	none	own	1	skilled employee / official	1	none	no	1	M
x < 0 DM	21	delay	education	3414	x < 100 DM	x < 1 year	2	none	1	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	0	M
no checking account	30	all credits paid	used car	7485	unknown	unemployed	4	none	1	real estate	bank	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
x < 0 DM	12	existing credits paid	forniture	2577	x < 100 DM	1 <= x < 4 years	2	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	critical accnt. / other credits	radio/tv	338	500 <= x < 1000 DM	x >= 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	12	existing credits paid	radio/tv	1963	x < 100 DM	4 <= x < 7 years	4	none	2	car or other	none	rent	2	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
x < 0 DM	21	critical accnt. / other credits	new car	571	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	36	delay	business	9572	x < 100 DM	x < 1 year	1	none	1	car or other	none	own	2	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	36	delay	business	4455	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	stores	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
x < 0 DM	21	all credits paid	new car	1647	unknown	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	2	unskilled-resident	2	none	yes	0	M
no checking account	24	critical accnt. / other credits	forniture	3777	x >= 1000 DM	1 <= x < 4 years	4	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	critical accnt. / other credits	new car	884	x < 100 DM	x >= 7 years	4	none	4	car or other	bank	own	1	skilled employee / official	2	yes	yes	0	M
no checking account	15	critical accnt. / other credits	radio/tv	1360	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	9	all credits paid	used car	5129	x < 100 DM	x >= 7 years	2	none	4	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	2	yes	yes	0	F
0 <= x < 200 DM	16	critical accnt. / other credits	new car	1175	x < 100 DM	unemployed	2	none	3	car or other	none	for free	3	unemployed / unskilled-non-resident	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	radio/tv	674	100 <= x < 500 DM	4 <= x < 7 years	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	18	no credits	forniture	3244	x < 100 DM	1 <= x < 4 years	1	none	4	car or other	bank	own	2	skilled employee / official	1	yes	yes	1	F
no checking account	24	existing credits paid	business	4591	x >= 1000 DM	1 <= x < 4 years	2	none	3	soc. savings / life insurance	none	own	3	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
0 <= x < 200 DM	48	no credits	business	3844	100 <= x < 500 DM	4 <= x < 7 years	4	none	4	unknown	none	for free	1	unskilled-resident	2	none	yes	0	M
0 <= x < 200 DM	27	existing credits paid	business	3915	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	2	yes	yes	0	M
no checking account	6	existing credits paid	radio/tv	2108	x < 100 DM	4 <= x < 7 years	2	none	2	real estate	none	rent	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	45	existing credits paid	radio/tv	3031	100 <= x < 500 DM	1 <= x < 4 years	4	guarantor	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	9	critical accnt. / other credits	education	1501	x < 100 DM	x >= 7 years	2	none	3	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	6	critical accnt. / other credits	radio/tv	1382	x < 100 DM	1 <= x < 4 years	1	none	1	car or other	none	own	2	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	12	existing credits paid	forniture	951	100 <= x < 500 DM	x < 1 year	4	none	4	car or other	bank	rent	4	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	24	existing credits paid	used car	2760	unknown	x >= 7 years	4	none	4	unknown	bank	for free	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	delay	forniture	4297	x < 100 DM	x >= 7 years	4	none	3	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	9	critical accnt. / other credits	education	936	500 <= x < 1000 DM	x >= 7 years	4	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	new car	1168	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
no checking account	27	delay	business	5117	x < 100 DM	4 <= x < 7 years	3	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	existing credits paid	retraining	902	x < 100 DM	4 <= x < 7 years	4	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	0	M
no checking account	12	critical accnt. / other credits	new car	1495	x < 100 DM	x >= 7 years	4	none	1	real estate	none	own	2	unskilled-resident	2	none	yes	1	M
x < 0 DM	30	critical accnt. / other credits	used car	10623	x < 100 DM	x >= 7 years	3	none	4	unknown	none	for free	3	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
no checking account	12	critical accnt. / other credits	forniture	1935	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	3	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	12	critical accnt. / other credits	appliances	1424	x < 100 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	24	existing credits paid	business	6568	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	stores	own	1	unskilled-resident	1	none	yes	1	M
no checking account	12	existing credits paid	used car	1413	x >= 1000 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	no	1	M
no checking account	9	critical accnt. / other credits	radio/tv	3074	unknown	1 <= x < 4 years	1	none	2	real estate	none	own	2	skilled employee / official	2	none	yes	1	M
no checking account	36	existing credits paid	radio/tv	3835	unknown	x >= 7 years	2	none	4	real estate	none	own	1	unskilled-resident	1	yes	yes	1	F
x < 0 DM	27	no credits	business	5293	x < 100 DM	unemployed	2	none	4	soc. savings / life insurance	stores	own	2	skilled employee / official	1	yes	yes	0	M
x >= 200DM	30	delay	business	1908	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	36	critical accnt. / other credits	radio/tv	3342	unknown	x >= 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	6	critical accnt. / other credits	retraining	932	unknown	4 <= x < 7 years	1	none	3	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	1	F
x < 0 DM	18	no credits	business	3104	x < 100 DM	4 <= x < 7 years	3	none	1	soc. savings / life insurance	bank	own	1	skilled employee / official	1	yes	yes	1	M
x >= 200DM	36	existing credits paid	radio/tv	3913	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	24	existing credits paid	forniture	3021	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
no checking account	10	existing credits paid	new car	1364	x < 100 DM	1 <= x < 4 years	2	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	12	existing credits paid	radio/tv	625	x < 100 DM	x < 1 year	4	guarantor	1	real estate	bank	own	1	unskilled-resident	1	none	yes	1	M
x < 0 DM	12	existing credits paid	education	1200	unknown	1 <= x < 4 years	4	none	4	soc. savings / life insurance	bank	rent	1	skilled employee / official	1	yes	yes	1	F
no checking account	12	existing credits paid	radio/tv	707	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	bank	own	2	skilled employee / official	1	none	yes	1	M
no checking account	24	delay	business	2978	unknown	1 <= x < 4 years	4	none	4	real estate	none	own	2	skilled employee / official	2	yes	yes	1	M
no checking account	15	existing credits paid	used car	4657	x < 100 DM	1 <= x < 4 years	3	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	36	no credits	repairs	2613	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	48	existing credits paid	radio/tv	10961	x >= 1000 DM	4 <= x < 7 years	1	co-applicant	2	unknown	bank	own	2	skilled employee / official	1	yes	yes	0	M
x < 0 DM	12	existing credits paid	forniture	7865	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	9	existing credits paid	radio/tv	1478	x < 100 DM	4 <= x < 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	24	existing credits paid	forniture	3149	x < 100 DM	x < 1 year	4	none	1	unknown	bank	for free	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	36	existing credits paid	radio/tv	4210	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	9	existing credits paid	new car	2507	500 <= x < 1000 DM	x >= 7 years	2	none	4	unknown	none	for free	1	unskilled-resident	1	none	yes	1	M
no checking account	12	existing credits paid	radio/tv	2141	100 <= x < 500 DM	4 <= x < 7 years	3	none	1	unknown	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	18	existing credits paid	radio/tv	866	x < 100 DM	1 <= x < 4 years	4	guarantor	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
no checking account	4	critical accnt. / other credits	radio/tv	1544	x < 100 DM	4 <= x < 7 years	2	none	1	real estate	none	own	3	unskilled-resident	2	none	yes	1	M
x < 0 DM	24	existing credits paid	radio/tv	1823	x < 100 DM	unemployed	4	none	2	car or other	stores	own	1	management / self-employed / highly qualified employee / officer	2	none	yes	0	M
0 <= x < 200 DM	6	existing credits paid	new car	14555	unknown	unemployed	1	none	2	soc. savings / life insurance	none	own	1	unemployed / unskilled-non-resident	1	yes	yes	0	M
0 <= x < 200 DM	21	existing credits paid	business	2767	100 <= x < 500 DM	x >= 7 years	4	none	2	car or other	bank	rent	2	unskilled-resident	1	none	yes	0	M
no checking account	12	critical accnt. / other credits	radio/tv	1291	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
x < 0 DM	30	existing credits paid	radio/tv	2522	x < 100 DM	x >= 7 years	1	guarantor	3	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	24	existing credits paid	new car	915	unknown	x >= 7 years	4	none	2	car or other	bank	own	1	skilled employee / official	1	none	yes	0	F
no checking account	6	existing credits paid	radio/tv	1595	x < 100 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	48	no credits	used car	4605	x < 100 DM	x >= 7 years	3	none	4	unknown	none	for free	2	skilled employee / official	2	none	yes	0	M
no checking account	12	critical accnt. / other credits	business	1185	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	12	all credits paid	retraining	3447	500 <= x < 1000 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	unskilled-resident	2	none	yes	1	F
no checking account	24	existing credits paid	business	1258	x < 100 DM	4 <= x < 7 years	4	none	1	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	radio/tv	717	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	3	skilled employee / official	1	none	yes	1	M
no checking account	6	no credits	new car	1204	100 <= x < 500 DM	1 <= x < 4 years	4	none	1	unknown	bank	rent	1	skilled employee / official	1	none	no	1	M
x >= 200DM	24	existing credits paid	forniture	1925	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	18	existing credits paid	radio/tv	433	x < 100 DM	unemployed	3	co-applicant	4	real estate	none	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	6	critical accnt. / other credits	new car	666	x >= 1000 DM	4 <= x < 7 years	3	none	4	real estate	none	own	2	unskilled-resident	1	yes	yes	1	F
x >= 200DM	12	existing credits paid	forniture	2251	x < 100 DM	1 <= x < 4 years	1	none	2	car or other	none	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	30	existing credits paid	new car	2150	x < 100 DM	1 <= x < 4 years	4	guarantor	2	unknown	bank	own	1	skilled employee / official	1	none	yes	0	F
no checking account	24	delay	forniture	4151	100 <= x < 500 DM	1 <= x < 4 years	2	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	9	existing credits paid	forniture	2030	unknown	4 <= x < 7 years	2	none	1	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	60	delay	radio/tv	7418	unknown	1 <= x < 4 years	1	none	1	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
no checking account	24	critical accnt. / other credits	radio/tv	2684	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	2	unskilled-resident	1	none	yes	1	M
x < 0 DM	12	all credits paid	radio/tv	2149	x < 100 DM	1 <= x < 4 years	4	none	1	unknown	none	for free	1	skilled employee / official	1	none	yes	0	M
no checking account	15	existing credits paid	used car	3812	100 <= x < 500 DM	x < 1 year	1	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
no checking account	11	critical accnt. / other credits	radio/tv	1154	100 <= x < 500 DM	unemployed	4	none	4	real estate	none	own	3	unskilled-resident	1	none	yes	1	F
x < 0 DM	12	existing credits paid	forniture	1657	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	24	existing credits paid	radio/tv	1603	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	18	critical accnt. / other credits	new car	5302	x < 100 DM	x >= 7 years	2	none	4	unknown	none	for free	3	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	education	2748	x < 100 DM	x >= 7 years	2	none	4	unknown	bank	for free	3	unskilled-resident	1	none	yes	1	F
no checking account	10	critical accnt. / other credits	new car	1231	x < 100 DM	x >= 7 years	3	none	4	real estate	none	own	2	unskilled-resident	2	none	no	1	M
0 <= x < 200 DM	15	existing credits paid	radio/tv	802	x < 100 DM	x >= 7 years	4	none	3	car or other	none	own	1	skilled employee / official	2	none	yes	0	M
no checking account	36	critical accnt. / other credits	business	6304	unknown	x >= 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	radio/tv	1533	x < 100 DM	x < 1 year	4	none	3	car or other	stores	own	1	skilled employee / official	1	yes	yes	1	F
x < 0 DM	14	existing credits paid	new car	8978	x < 100 DM	x >= 7 years	1	none	4	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	no	0	M
no checking account	24	existing credits paid	radio/tv	999	unknown	x >= 7 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	18	existing credits paid	new car	2662	unknown	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	no	1	M
no checking account	12	critical accnt. / other credits	forniture	1402	500 <= x < 1000 DM	4 <= x < 7 years	3	none	4	car or other	none	rent	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	48	all credits paid	new car	12169	unknown	unemployed	4	co-applicant	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	48	existing credits paid	radio/tv	3060	x < 100 DM	4 <= x < 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	none	yes	0	M
x < 0 DM	30	existing credits paid	repairs	11998	x < 100 DM	x < 1 year	1	none	1	unknown	none	own	1	unskilled-resident	1	yes	yes	0	M
no checking account	9	existing credits paid	radio/tv	2697	x < 100 DM	1 <= x < 4 years	1	none	2	real estate	none	own	1	skilled employee / official	2	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	2404	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	F
x < 0 DM	12	existing credits paid	forniture	1262	unknown	x >= 7 years	2	none	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	yes	yes	1	M
no checking account	6	existing credits paid	forniture	4611	x < 100 DM	x < 1 year	1	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
no checking account	24	existing credits paid	radio/tv	1901	100 <= x < 500 DM	1 <= x < 4 years	4	none	4	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	15	critical accnt. / other credits	used car	3368	x >= 1000 DM	x >= 7 years	3	none	4	unknown	none	rent	2	skilled employee / official	1	yes	yes	1	M
no checking account	12	existing credits paid	forniture	1574	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	18	all credits paid	radio/tv	1445	unknown	4 <= x < 7 years	4	none	4	car or other	bank	own	1	unskilled-resident	1	none	yes	1	M
no checking account	15	critical accnt. / other credits	forniture	1520	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	24	critical accnt. / other credits	new car	3878	100 <= x < 500 DM	x < 1 year	4	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	47	existing credits paid	new car	10722	x < 100 DM	x < 1 year	1	none	1	real estate	none	own	1	unskilled-resident	1	yes	yes	1	F
x < 0 DM	48	existing credits paid	used car	4788	x < 100 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	1	M
0 <= x < 200 DM	48	delay	others	7582	100 <= x < 500 DM	unemployed	2	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	1092	x < 100 DM	1 <= x < 4 years	4	guarantor	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	24	delay	radio/tv	1024	x < 100 DM	x < 1 year	4	none	4	real estate	stores	own	1	skilled employee / official	1	none	yes	0	M
no checking account	12	existing credits paid	business	1076	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	yes	no	1	M
0 <= x < 200 DM	36	existing credits paid	used car	9398	x < 100 DM	x < 1 year	1	none	4	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
x < 0 DM	24	critical accnt. / other credits	used car	6419	x < 100 DM	x >= 7 years	2	none	4	unknown	none	for free	2	management / self-employed / highly qualified employee / officer	2	yes	yes	1	F
x >= 200DM	42	critical accnt. / other credits	used car	4796	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
no checking account	48	critical accnt. / other credits	business	7629	unknown	x >= 7 years	4	none	2	car or other	bank	own	2	management / self-employed / highly qualified employee / officer	2	none	yes	1	M
0 <= x < 200 DM	48	existing credits paid	forniture	9960	x < 100 DM	x < 1 year	1	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	0	F
no checking account	12	existing credits paid	used car	4675	unknown	x < 1 year	1	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
no checking account	10	existing credits paid	new car	1287	unknown	x >= 7 years	4	co-applicant	2	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	no	1	M
no checking account	18	existing credits paid	forniture	2515	x < 100 DM	1 <= x < 4 years	3	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	21	critical accnt. / other credits	forniture	2745	x >= 1000 DM	4 <= x < 7 years	3	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	6	existing credits paid	new car	672	x < 100 DM	unemployed	1	none	4	real estate	none	own	1	unemployed / unskilled-non-resident	1	yes	yes	1	F
0 <= x < 200 DM	36	no credits	radio/tv	3804	x < 100 DM	1 <= x < 4 years	4	none	1	car or other	none	own	1	skilled employee / official	1	yes	yes	0	F
x >= 200DM	24	critical accnt. / other credits	new car	1344	unknown	4 <= x < 7 years	4	none	2	real estate	bank	own	2	unskilled-resident	2	none	yes	0	M
x < 0 DM	10	critical accnt. / other credits	new car	1038	x < 100 DM	4 <= x < 7 years	4	co-applicant	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	48	critical accnt. / other credits	new car	10127	500 <= x < 1000 DM	1 <= x < 4 years	2	none	2	unknown	bank	for free	1	skilled employee / official	1	none	yes	0	M
no checking account	6	existing credits paid	forniture	1543	x >= 1000 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	30	existing credits paid	used car	4811	unknown	4 <= x < 7 years	2	none	4	soc. savings / life insurance	stores	rent	1	unskilled-resident	1	none	yes	1	F
x < 0 DM	12	existing credits paid	radio/tv	727	100 <= x < 500 DM	x < 1 year	4	none	3	unknown	none	own	1	unskilled-resident	1	yes	yes	0	M
0 <= x < 200 DM	8	existing credits paid	forniture	1237	x < 100 DM	1 <= x < 4 years	3	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	9	existing credits paid	new car	276	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	48	existing credits paid	others	5381	unknown	unemployed	3	none	4	unknown	bank	for free	1	unemployed / unskilled-non-resident	1	yes	yes	1	M
no checking account	24	existing credits paid	forniture	5511	100 <= x < 500 DM	1 <= x < 4 years	4	none	1	car or other	stores	own	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	24	existing credits paid	forniture	3749	x < 100 DM	x < 1 year	2	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	new car	685	x < 100 DM	4 <= x < 7 years	2	none	3	car or other	bank	own	1	unskilled-resident	1	none	yes	0	M
x >= 200DM	4	existing credits paid	new car	1494	unknown	x < 1 year	1	none	2	real estate	none	own	1	unskilled-resident	2	none	no	1	M
x < 0 DM	36	all credits paid	forniture	2746	x < 100 DM	x >= 7 years	4	none	4	car or other	bank	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	12	existing credits paid	forniture	708	x < 100 DM	1 <= x < 4 years	2	guarantor	3	soc. savings / life insurance	none	own	1	unskilled-resident	2	none	yes	1	M
0 <= x < 200 DM	24	existing credits paid	forniture	4351	unknown	1 <= x < 4 years	1	none	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	yes	yes	1	F
no checking account	12	critical accnt. / other credits	education	701	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	15	delay	forniture	3643	x < 100 DM	x >= 7 years	1	none	4	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	30	critical accnt. / other credits	new car	4249	x < 100 DM	unemployed	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	none	yes	0	M
x < 0 DM	24	existing credits paid	radio/tv	1938	x < 100 DM	x < 1 year	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	24	existing credits paid	used car	2910	x < 100 DM	4 <= x < 7 years	2	none	1	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	18	existing credits paid	forniture	2659	x >= 1000 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	new car	1028	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	none	own	2	skilled employee / official	1	none	yes	1	F
x < 0 DM	8	critical accnt. / other credits	new car	3398	x < 100 DM	4 <= x < 7 years	1	none	4	real estate	none	own	2	unskilled-resident	1	none	no	1	M
no checking account	12	critical accnt. / other credits	forniture	5801	unknown	x >= 7 years	2	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	yes	yes	1	M
no checking account	24	existing credits paid	new car	1525	x >= 1000 DM	4 <= x < 7 years	4	none	3	car or other	none	own	1	skilled employee / official	2	yes	yes	1	F
x >= 200DM	36	existing credits paid	radio/tv	4473	x < 100 DM	x >= 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	6	existing credits paid	radio/tv	1068	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	24	critical accnt. / other credits	used car	6615	x < 100 DM	unemployed	2	none	4	unknown	none	for free	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	18	critical accnt. / other credits	education	1864	100 <= x < 500 DM	1 <= x < 4 years	4	none	2	real estate	none	own	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	60	existing credits paid	new car	7408	100 <= x < 500 DM	x < 1 year	4	none	2	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	0	F
no checking account	48	critical accnt. / other credits	used car	11590	100 <= x < 500 DM	1 <= x < 4 years	2	none	4	car or other	bank	rent	2	unskilled-resident	1	none	yes	0	F
x < 0 DM	24	no credits	forniture	4110	x < 100 DM	x >= 7 years	3	none	4	unknown	bank	rent	2	skilled employee / official	2	none	yes	0	M
x < 0 DM	6	critical accnt. / other credits	forniture	3384	x < 100 DM	1 <= x < 4 years	1	none	4	real estate	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
0 <= x < 200 DM	13	existing credits paid	radio/tv	2101	x < 100 DM	x < 1 year	2	guarantor	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	1	F
x < 0 DM	15	existing credits paid	appliances	1275	unknown	1 <= x < 4 years	4	none	2	car or other	none	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	24	existing credits paid	forniture	4169	x < 100 DM	1 <= x < 4 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	10	existing credits paid	forniture	1521	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	unskilled-resident	1	none	yes	1	M
